TT;buffer_h;rope_cap;n_tf_orden;lead_time;lead_time_sd;OTD;avg_wip;cb_util;cb_starv;buf_wait;replica
1000;4.0;2;3;64,01003395;38,50253772;8,444444444;23,35617874;79,29052548;20,70947452;1,266265243;0
1000;4.0;2;3;76,35717663;37,22327188;10,66666667;29,78557935;77,92486729;22,07513271;1,099129241;1
1000;4.0;2;3;73,57355162;48,44366956;12,88888889;29,48074739;77,5283536;22,4716464;1,071038695;2
1000;4.0;2;3;96,38058483;53,69623565;9,555555556;36,75884744;79,17729559;20,82270441;1,164985047;3
1000;4.0;2;3;35,53762862;18,45170206;20,44444444;13,09850986;77,63120317;22,36879683;1,20716504;4
1000;4.0;2;3;94,67372782;46,18605257;9,777777778;37,9433593;76,43216351;23,56783649;1,014144692;5
1000;4.0;2;3;37,53348371;31,33893393;39,77777778;12,66712376;71,0682096;28,9317904;1,143098898;6
1000;4.0;2;3;44,07301219;21,77216188;15,11111111;16,10030972;74,34342508;25,65657492;1,103919771;7
1000;4.0;2;3;81,35045666;55,22580937;12,88888889;29,85476132;79,55953865;20,44046135;1,254645048;8
1000;4.0;2;3;31,86238755;19,36933223;28,66666667;10,76574982;66,74696203;33,25303797;1,040525947;9
1000;4.0;2;3;35,99101068;21,74186791;29,11111111;13,77773606;72,39865393;27,60134607;0,985226259;10
1000;4.0;2;3;45,94541478;29,35142691;22;17,83578042;72,63853394;27,36146606;1,018676516;11
1000;4.0;2;3;66,16238987;30,03555559;8;25,36208338;76,18451499;23,81548501;1,092263267;12
1000;4.0;2;3;38,8201719;25,64172335;22,88888889;13,56080363;71,93114083;28,06885917;1,121800567;13
1000;4.0;2;3;32,7418308;22,02823134;31,77777778;12,26114951;76,44637509;23,55362491;1,112149499;14
1000;4.0;2;3;20,54356029;13,80992048;53,11111111;7,034667266;67,18851838;32,81148162;1,081031064;15
1000;4.0;2;3;87,40825967;28,15627851;3,555555556;32,55867097;75,75915766;24,24084234;1,091660446;16
1000;4.0;2;3;54,27781108;17,68087137;2,888888889;21,98939577;79,49227456;20,50772544;1,122565068;17
1000;4.0;2;3;42,22711081;23,53633117;19,11111111;15,57846784;76,45701397;23,54298603;1,125018932;18
1000;4.0;2;3;95,40893122;57,96503979;7,555555556;35,59453489;78,79264728;21,20735272;1,238924907;19
1000;4.0;2;3;32,2185549;25,63660918;43,33333333;11,13627055;64,39613715;35,60386285;0,999610446;20
1000;4.0;2;3;94,4564999;47,6297792;6,222222222;35,52960954;77,56418138;22,43581862;1,156183407;21
1000;4.0;2;3;97,94508564;40,19879176;2,444444444;37,59697368;81,23782462;18,76217538;1,279659427;22
1000;4.0;2;3;122,792142;51,30984198;1,777777778;47,57262421;82,08288981;17,91711019;1,194692747;23
1000;4.0;2;3;31,62729027;16,17083873;26,22222222;11,68958655;78,09750381;21,90249619;1,224016133;24
1000;4.0;2;3;32,82157602;24,50422663;38;11,76986654;76,03174129;23,96825871;1,1217251;25
1000;4.0;2;3;74,24623372;31,2587202;5,777777778;28,10707434;80,86031261;19,13968739;1,243758532;26
1000;4.0;2;3;114,9400137;53,47971044;0,888888889;42,5021361;80,40985444;19,59014556;1,235861446;27
1000;4.0;2;3;57,98003607;42,80170278;10;21,57473318;81,00859909;18,99140091;1,256406424;28
1000;4.0;2;3;56,04021631;46,37090049;22;20,81184909;77,84151071;22,15848929;1,181406535;29
500;4.0;4;6;18,22837502;10,43762176;54,33333333;14,7088925;82,15785311;17,84214689;1,918787178;0
500;4.0;4;6;19,6062581;9,535816215;42,44444444;16,92046212;85,37849065;14,62150935;1,928137375;1
500;4.0;4;6;12,15684647;10,31941436;79,88888889;9,231302361;71,90286469;28,09713531;1,608202297;2
500;4.0;4;6;19,905644;10,55205069;45,44444444;16,41993054;85,23355474;14,76644526;2,01667054;3
500;4.0;4;6;36,46499768;26,07279558;29,22222222;29,76372196;87,44613765;12,55386235;2,173346155;4
500;4.0;4;6;42,14145975;29,71342771;34,22222222;38,19632204;89,0871118;10,9128882;1,932864841;5
500;4.0;4;6;16,41840059;12,3761062;60,66666667;12,61022021;75,96787029;24,03212971;1,722828321;6
500;4.0;4;6;14,74499783;9,508851132;67,11111111;10,9268003;76,89519031;23,10480969;1,896913372;7
500;4.0;4;6;13,11198918;8,466544194;75,33333333;9,66333755;77,76864799;22,23135201;1,932154371;8
500;4.0;4;6;14,47812164;10,58486742;67,33333333;10,01560271;72,88417508;27,11582492;1,939730954;9
500;4.0;4;6;49,94297122;35,91043769;30,55555556;42,69586224;88,87555082;11,12444918;2,058083686;10
500;4.0;4;6;37,68512512;29,91544013;40,33333333;28,06045991;76,64141421;23,35858579;1,964112352;11
500;4.0;4;6;24,66981359;20,11171303;44,66666667;19,56953866;81,16251526;18,83748474;1,930798327;12
